"","harvestDate","harvester","biosampleNumber","rnaDate","rnaPreparer","rnaSampleNumber","rnaPrepMethod","roboticRNAPrep","RIBOSOMAL_BAND","RIBOSOMAL_BAND_SHAPE","SMALL_RNA_BANDS","RIN"
"1","05.17.19","J.PLAGGENBERG",1,"06.07.19","J.PLAGGENBERG",1,"RiboPure0.25X","no","Y",NA,NA,"6.6"
"2","05.17.19","J.PLAGGENBERG",2,"06.07.19","J.PLAGGENBERG",2,"RiboPure0.25X","no","Y",NA,NA,"6.8"
"3","05.17.19","J.PLAGGENBERG",3,"06.07.19","J.PLAGGENBERG",3,"RiboPure0.25X","no","Y",NA,NA,"6.8"
"4","05.17.19","J.PLAGGENBERG",4,"06.07.19","J.PLAGGENBERG",4,"RiboPure0.25X","no","Y",NA,NA,"6.0"
"5","05.17.19","J.PLAGGENBERG",5,"06.07.19","J.PLAGGENBERG",5,"RiboPure0.25X","no","Y",NA,NA,"6.8"
"6","05.17.19","J.PLAGGENBERG",6,"06.07.19","J.PLAGGENBERG",6,"RiboPure0.25X","no","Y",NA,NA,"6.6"
"7","05.17.19","J.PLAGGENBERG",7,"06.07.19","J.PLAGGENBERG",7,"RiboPure0.25X","no","Y",NA,NA,"6.9"
"8","05.17.19","J.PLAGGENBERG",8,"06.07.19","J.PLAGGENBERG",8,"RiboPure0.25X","no","Y",NA,NA,"6.9"
"9","05.17.19","J.PLAGGENBERG",9,"06.07.19","J.PLAGGENBERG",9,"RiboPure0.25X","no","Y",NA,NA,"7.0"
"10","05.17.19","J.PLAGGENBERG",10,"06.07.19","J.PLAGGENBERG",10,"RiboPure0.25X","no","Y",NA,NA,"6.8"
"11","05.17.19","J.PLAGGENBERG",11,"06.07.19","J.PLAGGENBERG",11,"RiboPure0.25X","no","Y",NA,NA,"6.7"
"12","05.17.19","J.PLAGGENBERG",12,"06.07.19","J.PLAGGENBERG",12,"RiboPure0.25X","no","Y",NA,NA,"NA"
"13","05.17.19","J.PLAGGENBERG",1,"06.10.19","J.PLAGGENBERG",13,"RiboPure0.125X","no","Y",NA,NA,"6.9"
"14","05.17.19","J.PLAGGENBERG",2,"06.10.19","J.PLAGGENBERG",14,"RiboPure0.125X","no","Y",NA,NA,"7.4"
"15","05.17.19","J.PLAGGENBERG",3,"06.10.19","J.PLAGGENBERG",15,"RiboPure0.125X","no","Y",NA,NA,"7.2"
"16","05.17.19","J.PLAGGENBERG",4,"06.10.19","J.PLAGGENBERG",16,"RiboPure0.125X","no","Y",NA,NA,"7.4"
"17","05.17.19","J.PLAGGENBERG",5,"06.10.19","J.PLAGGENBERG",17,"RiboPure0.125X","no","Y",NA,NA,"6.9"
"18","05.17.19","J.PLAGGENBERG",6,"06.10.19","J.PLAGGENBERG",18,"RiboPure0.125X","no","Y",NA,NA,"7.2"
"19","05.17.19","J.PLAGGENBERG",7,"06.10.19","J.PLAGGENBERG",19,"RiboPure0.125X","no","Y",NA,NA,"7.4"
"20","05.17.19","J.PLAGGENBERG",8,"06.10.19","J.PLAGGENBERG",20,"RiboPure0.125X","no","Y",NA,NA,"7.0"
"21","05.17.19","J.PLAGGENBERG",9,"06.10.19","J.PLAGGENBERG",21,"RiboPure0.125X","no","Y",NA,NA,"7.0"
"22","05.17.19","J.PLAGGENBERG",10,"06.10.19","J.PLAGGENBERG",22,"RiboPure0.125X","no","Y",NA,NA,"7.3"
"23","05.17.19","J.PLAGGENBERG",11,"06.10.19","J.PLAGGENBERG",23,"RiboPure0.125X","no","Y",NA,NA,"6.9"
"24","05.17.19","J.PLAGGENBERG",12,"06.10.19","J.PLAGGENBERG",24,"RiboPure0.125X","no","Y",NA,NA,"NA"
"25","05.17.19","J.PLAGGENBERG",1,"06.10.19","J.PLAGGENBERG",25,"DirectZol","no","Y",NA,NA,"2.6"
"26","05.17.19","J.PLAGGENBERG",2,"06.10.19","J.PLAGGENBERG",26,"DirectZol","no","N",NA,NA,"2.5"
"27","05.17.19","J.PLAGGENBERG",3,"06.10.19","J.PLAGGENBERG",27,"DirectZol","no","Y",NA,NA,"2.6"
"28","05.17.19","J.PLAGGENBERG",4,"06.10.19","J.PLAGGENBERG",28,"DirectZol","no","Y",NA,NA,"10.0"
"29","05.17.19","J.PLAGGENBERG",5,"06.10.19","J.PLAGGENBERG",29,"DirectZol","no","Y",NA,NA,"2.6"
"30","05.17.19","J.PLAGGENBERG",6,"06.10.19","J.PLAGGENBERG",30,"DirectZol","no","Y",NA,NA,"2.6"
"31","05.17.19","J.PLAGGENBERG",7,"06.10.19","J.PLAGGENBERG",31,"DirectZol","no","Y",NA,NA,"2.1"
"32","05.17.19","J.PLAGGENBERG",8,"06.10.19","J.PLAGGENBERG",32,"DirectZol","no","Y",NA,NA,"NA"
"33","05.17.19","J.PLAGGENBERG",9,"06.10.19","J.PLAGGENBERG",33,"DirectZol","no","Y",NA,NA,"3.8"
"34","05.17.19","J.PLAGGENBERG",10,"06.10.19","J.PLAGGENBERG",34,"DirectZol","no","Y",NA,NA,"2.5"
"35","05.17.19","J.PLAGGENBERG",11,"06.10.19","J.PLAGGENBERG",35,"DirectZol","no","Y",NA,NA,"NA"
"36","05.17.19","J.PLAGGENBERG",12,"06.10.19","J.PLAGGENBERG",36,"DirectZol","no","Y",NA,NA,"NA"
"37","06.20.19","J.PLAGGENBERG",1,"06.21.19","J.PLAGGENBERG",1,"DirectZol","No","N","NA","N","2.4"
"38","06.20.19","J.PLAGGENBERG",2,"06.21.19","J.PLAGGENBERG",2,"DirectZol","No","N","NA","N","6.0"
"39","06.20.19","J.PLAGGENBERG",3,"06.21.19","J.PLAGGENBERG",3,"DirectZol","No","N","NA","N","2.4"
"40","06.20.19","J.PLAGGENBERG",4,"06.21.19","J.PLAGGENBERG",4,"DirectZol","No","N","NA","N","2.4"
"41","06.20.19","J.PLAGGENBERG",5,"06.21.19","J.PLAGGENBERG",5,"DirectZol","No","N","NA","N","7.7"
"42","06.20.19","J.PLAGGENBERG",6,"06.21.19","J.PLAGGENBERG",6,"DirectZol","No","N","NA","N","2.3"
"43","06.20.19","J.PLAGGENBERG",7,"06.21.19","J.PLAGGENBERG",7,"DirectZol","No","N","NA","N","2.6"
"44","06.20.19","J.PLAGGENBERG",8,"06.21.19","J.PLAGGENBERG",8,"DirectZol","No","N","NA","N","2.4"
"45","06.20.19","J.PLAGGENBERG",9,"06.21.19","J.PLAGGENBERG",9,"DirectZol","No","N","NA","N","8.3"
"46","06.20.19","J.PLAGGENBERG",10,"06.21.19","J.PLAGGENBERG",10,"DirectZol","No","N","NA","N","7.2"
"47","06.20.19","J.PLAGGENBERG",11,"06.21.19","J.PLAGGENBERG",11,"DirectZol","No","N","NA","N","2.9"
"48","06.20.19","J.PLAGGENBERG",12,"06.21.19","J.PLAGGENBERG",12,"DirectZol","No","N","NA","N","NA"
"49","06.20.19","J.PLAGGENBERG",1,"06.24.19","J.PLAGGENBERG",13,"RiboPure0.125X","No","Y","smile","Y","9.7"
"50","06.20.19","J.PLAGGENBERG",2,"06.24.19","J.PLAGGENBERG",14,"RiboPure0.125X","No","Y","smile","Y","9.8"
"51","06.20.19","J.PLAGGENBERG",3,"06.24.19","J.PLAGGENBERG",15,"RiboPure0.125X","No","Y","smile","Y","6.8"
"52","06.20.19","J.PLAGGENBERG",4,"06.24.19","J.PLAGGENBERG",16,"RiboPure0.125X","No","Y","smile","Y","6.8"
"53","06.20.19","J.PLAGGENBERG",5,"06.24.19","J.PLAGGENBERG",17,"RiboPure0.125X","No","Y","smile","Y","6.8"
"54","06.20.19","J.PLAGGENBERG",6,"06.24.19","J.PLAGGENBERG",18,"RiboPure0.125X","No","Y","smile","Y","6.9"
"55","06.20.19","J.PLAGGENBERG",7,"06.24.19","J.PLAGGENBERG",19,"RiboPure0.125X","No","Y","straight","Y","8.3"
"56","06.20.19","J.PLAGGENBERG",8,"06.24.19","J.PLAGGENBERG",20,"RiboPure0.125X","No","Y","smile","Y","6.7"
"57","06.20.19","J.PLAGGENBERG",9,"06.24.19","J.PLAGGENBERG",21,"RiboPure0.125X","No","Y","smile","Y","6.8"
"58","06.20.19","J.PLAGGENBERG",10,"06.24.19","J.PLAGGENBERG",22,"RiboPure0.125X","No","Y","smile","Y","6.8"
"59","06.20.19","J.PLAGGENBERG",11,"06.24.19","J.PLAGGENBERG",23,"RiboPure0.125X","No","Y","smile","Y","6.8"
"60","06.20.19","J.PLAGGENBERG",12,"06.24.19","J.PLAGGENBERG",24,"RiboPure0.125X","No","Y","smile","Y","NA"
"61","06.20.19","J.PLAGGENBERG",1,"06.24.19","J.PLAGGENBERG",25,"ComboA","No","Y","straight","N","7.1"
"62","06.20.19","J.PLAGGENBERG",2,"06.24.19","J.PLAGGENBERG",26,"ComboA","No","Y","straight","N","7.1"
"63","06.20.19","J.PLAGGENBERG",3,"06.24.19","J.PLAGGENBERG",27,"ComboA","No","Y","straight","N","7.1"
"64","06.20.19","J.PLAGGENBERG",4,"06.24.19","J.PLAGGENBERG",28,"ComboA","No","Y","straight","N","7.4"
"65","06.20.19","J.PLAGGENBERG",5,"06.24.19","J.PLAGGENBERG",29,"ComboA","No","Y","straight","N","7.1"
"66","06.20.19","J.PLAGGENBERG",6,"06.24.19","J.PLAGGENBERG",30,"ComboA","No","Y","straight","N","7.2"
"67","06.20.19","J.PLAGGENBERG",7,"06.24.19","J.PLAGGENBERG",31,"ComboA","No","Y","straight","N","7.1"
"68","06.20.19","J.PLAGGENBERG",8,"06.24.19","J.PLAGGENBERG",32,"ComboA","No","Y","straight","N","7.1"
"69","06.20.19","J.PLAGGENBERG",9,"06.24.19","J.PLAGGENBERG",33,"ComboA","No","Y","straight","N","1.4"
"70","06.20.19","J.PLAGGENBERG",10,"06.24.19","J.PLAGGENBERG",34,"ComboA","No","Y","straight","N","2.6"
"71","06.20.19","J.PLAGGENBERG",11,"06.24.19","J.PLAGGENBERG",35,"ComboA","No","Y","smile","N","2.6"
"72","06.20.19","J.PLAGGENBERG",12,"06.24.19","J.PLAGGENBERG",36,"ComboA","No","Y","smile","Y","NA"
"73","06.20.19","J.PLAGGENBERG",1,"06.25.19","J.PLAGGENBERG",37,"ComboB","No","faint","straight","Y","2.5"
"74","06.20.19","J.PLAGGENBERG",2,"06.25.19","J.PLAGGENBERG",38,"ComboB","No","faint","straight","Y","8.8"
"75","06.20.19","J.PLAGGENBERG",3,"06.25.19","J.PLAGGENBERG",39,"ComboB","No","faint","straight","Y","2.8"
"76","06.20.19","J.PLAGGENBERG",4,"06.25.19","J.PLAGGENBERG",40,"ComboB","No","N","NA","Y","7.3"
"77","06.20.19","J.PLAGGENBERG",5,"06.25.19","J.PLAGGENBERG",41,"ComboB","No","N","NA","Y","4.5"
"78","06.20.19","J.PLAGGENBERG",6,"06.25.19","J.PLAGGENBERG",42,"ComboB","No","faint","straight","Y","6.9"
"79","06.20.19","J.PLAGGENBERG",7,"06.25.19","J.PLAGGENBERG",43,"ComboB","No","faint","straight","Y","2.3"
"80","06.20.19","J.PLAGGENBERG",8,"06.25.19","J.PLAGGENBERG",44,"ComboB","No","faint","straight","Y","6.6"
"81","06.20.19","J.PLAGGENBERG",9,"06.25.19","J.PLAGGENBERG",45,"ComboB","No","faint","straight","Y","4.9"
"82","06.20.19","J.PLAGGENBERG",10,"06.25.19","J.PLAGGENBERG",46,"ComboB","No","faint","straight","Y","8.0"
"83","06.20.19","J.PLAGGENBERG",11,"06.25.19","J.PLAGGENBERG",47,"ComboB","No","faint","straight","Y","7.7"
"84","06.20.19","J.PLAGGENBERG",12,"06.25.19","J.PLAGGENBERG",48,"ComboB","No","faint","straight","Y","NA"
"85","07.24.19","J.PLAGGENBERG",2,"08.08.19","J.PLAGGENBERG",2,"DirectZol","no","Y","straight","Y","NA"
"86","07.24.19","J.PLAGGENBERG",5,"08.08.19","J.PLAGGENBERG",5,"DirectZol","no","Y","straight","Y","NA"
"87","07.24.19","J.PLAGGENBERG",8,"08.08.19","J.PLAGGENBERG",8,"DirectZol","no","Y","straight","Y","NA"
"88","07.24.19","J.PLAGGENBERG",11,"08.08.19","J.PLAGGENBERG",11,"DirectZol","no","Y","straight","Y","NA"
"89","07.24.19","J.PLAGGENBERG",14,"08.08.19","J.PLAGGENBERG",14,"DirectZol","no","Y","straight","Y","NA"
"90","07.24.19","J.PLAGGENBERG",17,"08.08.19","J.PLAGGENBERG",17,"DirectZol","no","Y","straight","Y","NA"
"91","08.09.19","J.PLAGGENBERG",2,"08.19.19","J.PLAGGENBERG",1,"DirectZol","no","Y","straight","Y","NA"
"92","08.09.19","J.PLAGGENBERG",5,"08.19.19","J.PLAGGENBERG",2,"DirectZol","no","Y","straight","Y","NA"
"93","08.09.19","J.PLAGGENBERG",8,"08.19.19","J.PLAGGENBERG",3,"DirectZol","no","Y","straight","Y","NA"
"94","08.09.19","J.PLAGGENBERG",11,"08.19.19","J.PLAGGENBERG",4,"DirectZol","no","Y","straight","Y","NA"
"95","08.09.19","J.PLAGGENBERG",14,"08.19.19","J.PLAGGENBERG",5,"DirectZol","no","Y","straight","Y","NA"
"96","08.09.19","J.PLAGGENBERG",17,"08.19.19","J.PLAGGENBERG",6,"DirectZol","no","Y","straight","Y","NA"
"97","08.12.19","J.PLAGGENBERG",2,"08.19.19","J.PLAGGENBERG",7,"DirectZol","no","Y","straight","Y","NA"
"98","08.12.19","J.PLAGGENBERG",5,"08.19.19","J.PLAGGENBERG",8,"DirectZol","no","Y","straight","Y","NA"
"99","08.12.19","J.PLAGGENBERG",8,"08.19.19","J.PLAGGENBERG",9,"DirectZol","no","Y","straight","Y","NA"
"100","08.12.19","J.PLAGGENBERG",11,"08.19.19","J.PLAGGENBERG",10,"DirectZol","no","Y","straight","Y","NA"
"101","08.12.19","J.PLAGGENBERG",14,"08.19.19","J.PLAGGENBERG",11,"DirectZol","no","Y","straight","Y","NA"
"102","08.12.19","J.PLAGGENBERG",17,"08.19.19","J.PLAGGENBERG",12,"DirectZol","no","Y","straight","Y","NA"
"103","08.15.19","J.PLAGGENBERG",1,"08.27.19","J.PLAGGENBERG",1,"DirectZol","no","Y","straight","Y","NA"
"104","08.15.19","J.PLAGGENBERG",2,"08.27.19","J.PLAGGENBERG",2,"DirectZol","no","Y","straight","Y","NA"
"105","08.15.19","J.PLAGGENBERG",3,"08.27.19","J.PLAGGENBERG",3,"DirectZol","no","Y","straight","Y","NA"
"106","08.15.19","J.PLAGGENBERG",4,"08.27.19","J.PLAGGENBERG",4,"DirectZol","no","Y","straight","Y","NA"
"107","08.15.19","J.PLAGGENBERG",5,"08.27.19","J.PLAGGENBERG",5,"DirectZol","no","Y","straight","Y","NA"
"108","08.15.19","J.PLAGGENBERG",6,"08.27.19","J.PLAGGENBERG",6,"DirectZol","no","Y","straight","Y","NA"
"109","08.15.19","J.PLAGGENBERG",7,"08.27.19","J.PLAGGENBERG",7,"DirectZol","no","Y","straight","Y","NA"
"110","08.15.19","J.PLAGGENBERG",8,"08.27.19","J.PLAGGENBERG",8,"DirectZol","no","Y","straight","Y","NA"
"111","08.15.19","J.PLAGGENBERG",9,"08.27.19","J.PLAGGENBERG",9,"DirectZol","no","Y","straight","Y","NA"
"112","08.15.19","J.PLAGGENBERG",10,"08.27.19","J.PLAGGENBERG",10,"DirectZol","no","Y","straight","Y","NA"
"113","08.15.19","J.PLAGGENBERG",11,"08.27.19","J.PLAGGENBERG",11,"DirectZol","no","Y","straight","Y","NA"
"114","08.15.19","J.PLAGGENBERG",12,"08.27.19","J.PLAGGENBERG",12,"DirectZol","no","Y","straight","Y","NA"
"115","08.15.19","J.PLAGGENBERG",13,"08.27.19","J.PLAGGENBERG",13,"DirectZol","no","Y","straight","Y","NA"
"116","08.15.19","J.PLAGGENBERG",14,"08.27.19","J.PLAGGENBERG",14,"DirectZol","no","Y","straight","Y","NA"
"117","08.15.19","J.PLAGGENBERG",15,"08.27.19","J.PLAGGENBERG",15,"DirectZol","no","Y","straight","Y","NA"
"118","08.15.19","J.PLAGGENBERG",16,"08.27.19","J.PLAGGENBERG",16,"DirectZol","no","Y","straight","Y","NA"
"119","08.16.19","J.PLAGGENBERG",1,"08.27.19","J.PLAGGENBERG",17,"DirectZol","no","Y","straight","Y","NA"
"120","08.16.19","J.PLAGGENBERG",2,"08.27.19","J.PLAGGENBERG",18,"DirectZol","no","Y","straight","Y","NA"
"121","08.16.19","J.PLAGGENBERG",3,"08.27.19","J.PLAGGENBERG",19,"DirectZol","no","Y","straight","Y","NA"
"122","08.16.19","J.PLAGGENBERG",4,"08.27.19","J.PLAGGENBERG",20,"DirectZol","no","Y","straight","Y","NA"
"123","08.16.19","J.PLAGGENBERG",5,"08.27.19","J.PLAGGENBERG",21,"DirectZol","no","Y","straight","Y","NA"
"124","08.16.19","J.PLAGGENBERG",6,"08.27.19","J.PLAGGENBERG",22,"DirectZol","no","Y","straight","Y","NA"
"125","08.16.19","J.PLAGGENBERG",7,"08.27.19","J.PLAGGENBERG",23,"DirectZol","no","Y","straight","Y","NA"
"126","08.16.19","J.PLAGGENBERG",8,"08.27.19","J.PLAGGENBERG",24,"DirectZol","no","Y","straight","Y","NA"
"127","08.16.19","J.PLAGGENBERG",9,"08.27.19","J.PLAGGENBERG",25,"DirectZol","no","Y","straight","Y","NA"
"128","08.16.19","J.PLAGGENBERG",10,"08.27.19","J.PLAGGENBERG",26,"DirectZol","no","Y","straight","Y","NA"
"129","08.16.19","J.PLAGGENBERG",11,"08.27.19","J.PLAGGENBERG",27,"DirectZol","no","Y","straight","Y","NA"
"130","08.16.19","J.PLAGGENBERG",12,"08.27.19","J.PLAGGENBERG",28,"DirectZol","no","Y","straight","Y","NA"
"131","08.16.19","J.PLAGGENBERG",13,"08.27.19","J.PLAGGENBERG",29,"DirectZol","no","Y","straight","Y","NA"
"132","08.16.19","J.PLAGGENBERG",14,"08.27.19","J.PLAGGENBERG",30,"DirectZol","no","Y","straight","Y","NA"
"133","08.16.19","J.PLAGGENBERG",15,"08.27.19","J.PLAGGENBERG",31,"DirectZol","no","Y","straight","Y","NA"
"134","08.16.19","J.PLAGGENBERG",16,"08.27.19","J.PLAGGENBERG",32,"DirectZol","no","Y","straight","Y","NA"
"135","09.10.19","J.PLAGGENBERG",1,"09.10.19","J.PLAGGENBERG",1,"DirectZol","no","Y","straight","Y","NA"
"136","09.10.19","J.PLAGGENBERG",2,"09.10.19","J.PLAGGENBERG",2,"DirectZol","no","Y","straight","Y","NA"
"137","09.10.19","J.PLAGGENBERG",3,"09.10.19","J.PLAGGENBERG",3,"DirectZol","no","Y","straight","Y","NA"
"138","09.10.19","J.PLAGGENBERG",4,"09.10.19","J.PLAGGENBERG",4,"DirectZol","no","Y","straight","Y","NA"
"139","09.10.19","J.PLAGGENBERG",5,"09.10.19","J.PLAGGENBERG",5,"DirectZol","no","Y","straight","Y","NA"
"140","09.10.19","J.PLAGGENBERG",6,"09.10.19","J.PLAGGENBERG",6,"DirectZol","no","Y","straight","Y","NA"
"141","09.10.19","J.PLAGGENBERG",7,"09.10.19","J.PLAGGENBERG",7,"DirectZol","no","Y","straight","Y","NA"
"142","09.10.19","J.PLAGGENBERG",8,"09.10.19","J.PLAGGENBERG",8,"DirectZol","no","Y","straight","Y","NA"
"143","09.10.19","J.PLAGGENBERG",1,"09.11.19","J.PLAGGENBERG",9,"DirectZol","no","Y","straight","Y","NA"
"144","09.10.19","J.PLAGGENBERG",2,"09.11.19","J.PLAGGENBERG",10,"DirectZol","no","Y","straight","Y","NA"
"145","09.10.19","J.PLAGGENBERG",3,"09.11.19","J.PLAGGENBERG",11,"DirectZol","no","Y","straight","Y","NA"
"146","09.10.19","J.PLAGGENBERG",4,"09.11.19","J.PLAGGENBERG",12,"DirectZol","no","Y","straight","Y","NA"
"147","09.10.19","J.PLAGGENBERG",5,"09.11.19","J.PLAGGENBERG",13,"DirectZol","no","Y","straight","Y","NA"
"148","09.10.19","J.PLAGGENBERG",6,"09.11.19","J.PLAGGENBERG",14,"DirectZol","no","Y","straight","Y","NA"
"149","09.10.19","J.PLAGGENBERG",7,"09.11.19","J.PLAGGENBERG",15,"DirectZol","no","Y","straight","Y","NA"
"150","09.10.19","J.PLAGGENBERG",8,"09.11.19","J.PLAGGENBERG",16,"DirectZol","no","Y","straight","Y","NA"
"151","10.10.19","J.PLAGGENBERG",1,"10.11.19","A.BOODRAM",1,"DirectZol","no","Y","straight","Y","NA"
"152","10.10.19","J.PLAGGENBERG",2,"10.11.19","A.BOODRAM",2,"DirectZol","no",NA,NA,NA,"NA"
"153","10.10.19","J.PLAGGENBERG",3,"10.11.19","A.BOODRAM",3,"DirectZol","no",NA,NA,NA,"NA"
"154","10.10.19","J.PLAGGENBERG",4,"10.11.19","A.BOODRAM",4,"DirectZol","no",NA,NA,NA,"NA"
"155","10.10.19","J.PLAGGENBERG",5,"10.11.19","A.BOODRAM",5,"DirectZol","no",NA,NA,NA,"NA"
"156","10.10.19","J.PLAGGENBERG",6,"10.11.19","A.BOODRAM",6,"DirectZol","no",NA,NA,NA,"NA"
"157","10.10.19","J.PLAGGENBERG",7,"10.11.19","A.BOODRAM",7,"DirectZol","no",NA,NA,NA,"NA"
"158","10.10.19","J.PLAGGENBERG",8,"10.11.19","A.BOODRAM",8,"DirectZol","no",NA,NA,NA,"NA"
"159","10.10.19","J.PLAGGENBERG",9,"10.11.19","A.BOODRAM",9,"DirectZol","no",NA,NA,NA,"NA"
"160","10.10.19","J.PLAGGENBERG",10,"10.11.19","A.BOODRAM",10,"DirectZol","no",NA,NA,NA,"NA"
"161","10.10.19","J.PLAGGENBERG",11,"10.11.19","A.BOODRAM",11,"DirectZol","no",NA,NA,NA,"NA"
"162","10.10.19","J.PLAGGENBERG",12,"10.11.19","A.BOODRAM",12,"DirectZol","no",NA,NA,NA,"NA"
